director_name;gender;movies_nb;fidelity_rel;fidelity_abs
Fax Bahr;2.0;1;0.0;0
Gerhard Lamprecht;2.0;58;1.9;110
Milton Rosmer;2;10;0.4;4
Peter Tewksbury;2.0;6;0.3;2
David Greene;2.0;40;0.6;22
Josée Dayan;2;25;2.1;53
F. Gary Gray;2.0;10;0.4;4
Kim Jee-woon;2;12;1.0;12
Brad Anderson;2.0;11;0.2;2
Harald Philipp;2.0;20;1.5;30
Fritz Umgelter;2.0;50;2.4;118
Živko Nikolić;2;9;1.2;11
Just Jaeckin;2.0;7;0.6;4
Michael Patrick King;2.0;2;6.0;12
Werner Jacobs;2.0;49;3.2;156
Tony Gilroy;2.0;3;1.7;5
Zbynek Brynych;2;22;0.7;16
Rinaldo Bassi;2;1;0.0;0
Predrag Golubović;2;5;1.0;5
Zdravko Velimirović;2;8;1.0;8
Serge Gainsbourg;2.0;5;0.4;2
Richard Benjamin;2.0;19;0.9;17
Nimród Antal;2.0;6;0.7;4
David DeBartolomé;2;1;0.0;0
Gavin Grazer;2.0;1;0.0;0
Marino Girolami;2.0;49;2.3;114
Michele Massimo Tarantini;2;26;2.5;65
Rafi Pitts;2;5;1.2;6
Kate Hudson;1.0;1;0.0;0
Rita Wilson;1.0;1;0.0;0
John Flynn;2.0;15;0.3;4
Paul Hoen;2.0;15;0.1;2
Patrick Sisam;2;3;0.0;0
Vicco von Bülow ;2;4;1.2;5
Siegfried Hartmann;2;9;0.2;2
Manfred Grunert;2;1;0.0;0
Claus Strigel;2;4;0.0;0
René Cardona Jr.;2;63;2.7;170
Rudolf Schweiger;2;1;0.0;0
Ray Lawrence;2.0;3;0.7;2
Adam Ravetch;2.0;2;0.0;0
Dieter Pröttel;2.0;5;3.4;17
Robert Salis;2;2;0.0;0
Olivier Langlois;2;9;0.0;0
Arnaud Desplechin;2.0;12;2.4;29
José Giovanni;2;13;1.0;13
René Richon;2;1;0.0;0
Rüdiger Nüchtern;2;5;0.0;0
Jean-Louis Trintignant;2.0;2;0.0;0
Helmer von Lützelburg;2.0;2;1.0;2
Joseph Losey;2.0;35;1.5;53
Peter Bogdanovich;2.0;23;1.2;28
Nello Rossati;2;12;1.1;13
René Clément;2.0;19;0.6;11
Julien Duvivier;2;48;1.3;63
Abel Ferrara;2.0;30;1.4;43
Jean Girault;2.0;24;2.3;56
Pierre Kalfon;2;1;0.0;0
Pierre Gaspard-Huit;2;8;1.1;9
Georges Lampin;2;6;0.5;3
Bernd Böhlich;2;25;1.6;39
Michel Deville;2;33;1.2;38
André Delvaux;2;8;1.2;10
Marguerite Duras;1.0;19;1.2;22
Pierre Sisser;2;1;0.0;0
Nico Raschick;2;2;0.0;0
Ben Affleck;2.0;6;0.5;3
Pierre Grasset;2;1;0.0;0
Carlos Cuarón;2.0;6;0.3;2
Sergio Sollima;2;12;1.1;13
Pasquale Squitieri;2;14;1.4;19
Yves Ciampi;2;6;1.0;6
Nelly Kaplan;2;7;0.0;0
Ted Tetzlaff;2.0;14;1.0;14
Henry Koster;2.0;44;2.1;92
Franz Josef Gottlieb;2.0;62;2.5;154
Holm Dressler;2;3;0.0;0
Klaus Gietinger;2;7;1.4;10
Renzo Martinelli;2;9;0.7;6
Nadia Conners;1.0;1;0.0;0
Maria Schrader;1.0;2;0.0;0
Bruno Jonas;2.0;2;0.0;0
Jean Herman;2.0;6;0.3;2
Henry Levin;2.0;49;1.8;89
Martin Gypkens;2.0;2;1.0;2
Alexander Singer;2.0;8;0.0;0
Larry Buchanan;2.0;23;1.7;39
Peter Collinson;2;17;1.1;18
Stanislav Govorukhin;2.0;15;0.7;10
Özer Kiziltan;2;2;0.0;0
Dito Tsintsadze;2;7;1.1;8
Wayne Wang;2;21;0.9;19
Val Guest;2.0;48;2.4;117
Marcus Mittermeier;2.0;1;0.0;0
Norbert Carbonnaux;2;5;2.0;10
Michel Fermaud;2;2;0.0;0
Hervé Bromberger;2.0;6;0.0;0
Ann-Kristin Reyels;2;2;0.0;0
Marc Brummund;2;3;0.7;2
Luke Moberly;2;1;0.0;0
Jeff Stanzler;2.0;2;0.0;0
L.Q. Jones;2.0;1;0.0;0
John Mackenzie;2.0;23;0.7;16
Angelina Maccarone;2;6;0.0;0
Burt Topper;2.0;8;1.4;11
Andrew L. Stone;2.0;26;1.1;29
David Moreton;2;3;1.3;4
Ranald MacDougall;2.0;6;0.3;2
Gene Kelly;2.0;9;0.4;4
Anthony Quinn;2.0;1;0.0;0
Vincent McEveety;2.0;22;2.0;44
David Lowell Rich;2.0;40;0.8;31
Anthony Mann;2.0;39;2.1;82
Joseph Pevney;2.0;36;1.6;56
Ethan Coen;2;3;0.7;2
Jacques Deray;2;25;1.4;36
Jean Dewever;2;4;0.5;2
Gil Junger;2.0;11;0.5;6
Michael Gordon;2;23;1.4;32
Géza von Radványi;2.0;19;1.4;26
Charlie Kaufman;2.0;3;1.3;4
Otar Iosseliani;2.0;21;0.4;8
Manuel Poirier;2.0;11;1.2;13
Judd Apatow;2.0;9;1.9;17
Edward Norton;2.0;1;0.0;0
Jean-Pierre Roux;2;1;0.0;0
Henner Winckler;2;2;0.0;0
John Maybury;2.0;9;0.7;6
Raoul Peck;2;16;0.5;8
Satoshi Kon;2;5;0.0;0
Don Bluth;2.0;7;1.3;9
Ulrich Köhler;2;6;0.0;0
Alexander Oey;2;2;0.0;0
George McCowan;2.0;17;0.4;6
Richard A. Colla;2.0;25;0.7;17
Michael Ritchie;2.0;24;1.0;24
Buzz Kulik;2.0;26;0.5;12
Samuel Fuller;2;26;1.6;41
Angela Schanelec;2;10;0.7;7
James Cox;2.0;5;0.0;0
Ulrich Seidl;2.0;18;0.8;14
Daniel Petrie;2.0;38;0.6;22
Vanessa Jopp;1.0;8;0.9;7
Adrian Hoven;2.0;7;0.3;2
William Witney;2.0;71;3.2;226
Stellio Lorenzi;2;4;0.5;2
Jean-Gabriel Albicocco;2.0;5;0.0;0
Robert Day;2.0;37;0.8;31
Jerzy Kawalerowicz;2.0;16;0.9;14
Stuart Margolin;2.0;13;0.7;9
Isy Oliver;2;1;0.0;0
Patricia Plattner;2;3;0.7;2
Giovanni d'Eramo;2;1;0.0;0
Piero Sciumè;2;1;0.0;0
Houchang Allahyari;2.0;9;1.2;11
Ninì Grassia;2.0;13;0.6;8
Arnaud Sélignac;2;15;1.1;16
Gerald Thomas;2.0;45;4.1;184
Antonio Isasi-Isasmendi;2;11;0.2;2
Marlène Bertin;2;1;0.0;0
Tony Gatlif;2.0;17;0.8;14
Christopher Smith;2.0;9;0.7;6
Marcin Ziebinski;2;1;0.0;0
Ivan Dykhovichnyy;2.0;6;0.0;0
