title;imdb_rating;viewing_date;personal_rating;children;tmdb_id;original_language;vote_count;vote_average;release_date;original_title;budget;revenue;runtime;imdb_id;production_country;production_countries_number;production_company;production_companies_number;genre;genre_number;director;director_number;producer;producer_number;actor_number
Indie Game : the movie;7,7;20/02/2017;2;none;80215;en;195;7.4;2012-05-18;Indie Game: The Movie;0;0;96;tt1942884;Canada;1;BlinkWorks Media;1;Documentary;1;Lisanne Pajot;2;none;0;4
la vie est un long fleuve tranquille;6,9;13/02/2017;2;S;4271;fr;58;6.9;1988-02-03;La Vie est un long fleuve tranquille;0;0;90;tt0096386;France;1;MK2 Productions;3;Comedy;1;Étienne Chatiliez;1;none;0;11
Pumping Iron;7;18/02/2017;2;none;5205;en;121;6.9;1977-01-18;Pumping Iron;1000000;0;85;tt0076578;United States of America;1;White Mountain Films;1;Documentary;1;George Butler;2;none;0;17
La La Land;9,3;04/02/2017;3;none;313369;en;3720;7.8;2016-11-29;La La Land;30000000;438956154;128;tt3783958;United States of America;1;Summit Entertainment;5;Comedy;4;Damien Chazelle;1;Fred Berger;3;121
Black Mirror;8,2;10/02/2017;4;none;374430;en;120;8.4;2014-12-16;Black Mirror: White Christmas;0;0;74;tt3973198;none;0;none;0;Drama;6;Carl Tibbetts;1;none;0;11
Frantz;7,5;04/02/2017;4;none;377263;fr;126;7.4;2016-09-07;Frantz;0;0;113;tt5029608;Germany;2;X-Filme Creative Pool;3;Drama;1;François Ozon;1;Eric Altmayer;4;23
Exit through the gift shop;8;31/10/2015;5;none;39452;en;296;7.6;2010-01-24;Exit Through the Gift Shop;0;4790751;87;tt1587707;United Kingdom;2;Oscilloscope Laboratories;2;Documentary;1;Banksy;1;none;0;4
La haine;8,1;02/11/2016;4;EMA;406;fr;580;7.8;1995-05-31;La Haine;3000000;0;98;tt0113247;France;1;Egg Pictures;8;Drama;1;Mathieu Kassovitz;1;Christophe Rossignon;3;20
Captain Fantastic;8;20/11/2016;4;ESMPA;334533;en;1177;7.9;2016-07-02;Captain Fantastic;5000000;14904961;119;tt3553976;United States of America;1;Electric City Entertainment;3;Adventure;4;Matt Ross;1;Lynette Howell Taylor;4;29
Réparer les vivants;7,2;20/11/2016;3;ES;383807;fr;43;6.5;2016-11-01;Réparer les vivants;0;0;104;tt5096536;Belgium;2;none;0;Drama;1;Katell Quillévéré;1;none;0;14
Ilha das Flores;0;08/11/2009;5;ES;45318;pt;29;7.7;1989-09-06;Ilha das Flores;0;0;13;tt0097564;Brazil;1;Casa de Cinema de Porto Alegre;1;Documentary;1;Jorge Furtado;1;Monica Schmiedt;2;11
The Shallows;6,4;23/12/2016;2;ES;332567;en;1352;6.2;2016-06-24;The Shallows;17000000;119100758;86;tt4052882;United States of America;1;Columbia Pictures;3;Horror;3;Jaume Collet-Serra;1;Lynn Harris;2;12
Clouds of Sils Maria;6,8;24/12/2016;4;none;246860;en;243;6.8;2014-08-20;Clouds of Sils Maria;6600000;1851517;124;tt2452254;Germany;3;Pallas Film;3;Drama;1;Olivier Assayas;1;Charles Gillibert;1;12
Toni Erdmann;8,2;02/01/2017;3;none;374475;de;220;7.4;2016-07-14;Toni Erdmann;3000000;0;162;tt4048272;Austria;2;Sony Pictures Classics;9;Comedy;2;Maren Ade;1;Michel Merkt;4;17
Waste land;7,9;07/01/2017;3;none;46689;en;32;7.5;2010-01-24;Waste Land;1500000;187716;90;tt1268204;Brazil;2;O2 Filmes;2;Documentary;1;Lucy Walker;2;Angus Aynsley;2;1
L'économie du couple;6,8;07/01/2017;2;none;377278;fr;32;5.9;2016-06-08;L'économie du couple;0;0;98;tt4746484;Belgium;2;Versus Production;2;Drama;2;Joachim Lafosse;1;none;0;13
Captains courageous;8;07/01/2017;3;none;16515;en;32;6.5;1937-06-25;Captains Courageous;1645000;0;115;tt0028691;United States of America;1;Metro-Goldwyn-Mayer (MGM);1;Adventure;3;Victor Fleming;1;Louis D. Lighton;1;58
Midnight Special;6,7;17/01/2017;3;none;245703;en;632;6.2;2016-02-18;Midnight Special;18000000;3707794;112;tt2649554;United States of America;1;Warner Bros.;3;Adventure;3;Jeff Nichols;1;Sarah Green;2;36
Stella Dallas;7,5;20/01/2017;3;none;43865;en;15;6.6;1937-08-06;Stella Dallas;0;0;106;tt0029608;United States of America;1;Samuel Goldwyn Company, The;1;Drama;2;King Vidor;1;Samuel Goldwyn;1;19
The Magnificent Seven;7;21/01/2017;3;none;333484;en;2077;5.8;2016-09-14;The Magnificent Seven;90000000;160437812;132;tt2404435;United States of America;1;Columbia Pictures;6;Adventure;3;Antoine Fuqua;1;Todd Black;2;45
Dodsworth;8,1;27/12/2016;4;none;31507;en;25;6.9;1936-09-23;Dodsworth;0;0;101;tt0027532;United States of America;1;Samuel Goldwyn Company, The;1;Drama;2;William Wyler;1;Samuel Goldwyn;1;9
Lastman;8,7;27/12/2016;4;none
Sabotage;8;27/12/2016;2;none;144336;en;534;5.5;2014-03-28;Sabotage;35000000;17508518;110;tt1742334;United States of America;1;Open Road Films;5;Action;4;David Ayer;1;Bill Block;5;57
Saboteur;7,2;27/12/2016;2;none;31997;en;83;6.7;1942-04-24;Saboteur;0;0;108;tt0035279;United States of America;1;Universal Pictures;1;Thriller;2;Alfred Hitchcock;1;Frank Lloyd;1;20
La tête haute;7,1;30/12/2016;3;S;329819;fr;132;7.2;2015-05-13;La Tête haute;5000000;26144;119;tt3791302;France;1;Les Films du Kiosque;2;Drama;1;Emmanuelle Bercot;1;François Kraus;2;9
Avril et le monde truque;8;01/01/2017;3;ESMPAJ;340357;fr;50;6.7;2015-11-04;Avril et le monde truqué;0;0;103;tt3422078;Canada;3;StudioCanal;2;Thriller;6;Franck Ekinci;2;Michel Dutheil;1;12
Spotlight;8,1;26/11/2016;3;E;314365;en;2402;7.8;2015-11-06;Spotlight;20000000;88346473;128;tt1895587;Canada;2;Participant Media;4;Drama;3;Tom McCarthy;1;Blye Pagon Faust;4;73
Steve Jobs;7,2;03/12/2016;3;E;321697;en;1451;6.8;2015-10-09;Steve Jobs;30000000;34441873;122;tt2080374;United States of America;1;Universal Pictures;6;Drama;2;Danny Boyle;1;Scott Rudin;5;19
2ldk;7;10/12/2016;2;none;24092;ja;15;7.1;2003-10-04;2LDK;0;0;70;tt0362387;Japan;1;Times In;3;Comedy;4;Yukihiko Tsutsumi;1;Kazuki Manabe;3;2
Train to busan;7,6;18/12/2016;3;E;396535;ko;719;7.6;2016-07-20;부산행;0;0;118;tt5700672;South Korea;1;NEW;1;Action;3; Yeon Sang-Ho;1;none;0;14
Bridge of spies;7,6;19/12/2016;2;E;296098;en;2349;7.1;2015-10-15;Bridge of Spies;40000000;165478348;141;tt3682448;India;3;DreamWorks SKG;8;Thriller;2;Steven Spielberg;1;Kristie Macosko Krieger;3;66
The Neon Demon;6,3;21/12/2016;3;none;301365;en;718;6.3;2016-06-08;The Neon Demon;7000000;1333124;117;tt1974419;Denmark;3;Bold Films;4;Thriller;2;Nicolas Winding Refn;1;Lene Børglum;4;16
Qui vive;5,7;19/12/2016;3;none;270401;fr;12;5.8;2014-11-12;Qui vive;0;0;83;tt2876834;France;1;La Vie Est Belle Films Associés;1;Drama;1;Marianne Tardieu;1;none;0;4
Animal farm;7,2;03/03/2016;4;ESMPA;11848;en;73;6.9;1954-12-29;Animal Farm;0;0;72;tt0047834;United Kingdom;1;Halas and Batchelor Cartoon Films;1;Animation;3;Joy Batchelor;2;John Halas;2;2
Ip man 3;7,3;30/04/2016;2;MPA;365222;cn;352;6.4;2015-12-19;葉問3;36000000;156844753;105;tt2888046;Hong Kong;1;Mandarin Films Distribution Co.;1;Action;3;Wilson Yip;1;Bak-Ming Wong;1;16
Watership down;7,7;14/05/2016;4;ESMPA;11837;en;144;7.2;1978-10-14;Watership Down;1000000;3713768;88;tt0078480;United Kingdom;1;AVCO Embassy Pictures;3;Adventure;3;Martin Rosen;1;Martin Rosen;1;15
Nuit et Brouillard;0;01/01/2005;5;none;803;fr;84;8.3;1955-01-01;Nuit et brouillard;0;0;32;tt0048434;France;1;Cocinor;2;History;3;Alain Resnais;1;Philippe Lifchitz;3;5
A Married Woman;6,9;29/05/2016;2;none;108356;en;1;5;1958-03-01;I Married a Woman;0;0;85;tt0051757;United States of America;1;Gomalco Productions;1;Comedy;1;Hal Kanter;1;William Bloom;1;13
Rocky Balboa;7,2;29/05/2016;1;none;1246;en;754;6.5;2006-12-20;Rocky Balboa;24000000;155721132;102;tt0479143;United States of America;1;Columbia Pictures;4;Drama;1;Sylvester Stallone;1;William Chartoff;4;16
Son of Saul;7,7;29/05/2016;2;none;336050;hu;250;7.1;2015-06-11;Saul fia;1000000;1777043;107;tt3808342;Hungary;1;Laokoon Filmgroup;2;War;3;László Nemes;1;Gábor Rajna;2;11
Fruitvale Station;7,5;29/05/2016;2;none;157354;en;373;7.3;2013-07-25;Fruitvale Station;0;17385830;85;tt2334649;United States of America;1;Forest Whitaker's Significant Productions;2;Drama;1;Ryan Coogler;1;Forest Whitaker;2;11
Repo Man;6,9;29/05/2016;2;none;13820;en;137;6.8;1984-02-20;Repo Man;1500000;2300000;92;tt0087995;United States of America;1;Edge City;1;Comedy;4;Alex Cox;1;Peter McCarthy;2;17
Wings of hope;7,7;13/03/2016;4;none;311296;ja;1;8;1998-12-02;レイアース 特別編 -希望の翼-;0;0;0;tt0168143;Japan;1;Kodansha;1;none;0;Keitaro Motonaga;2;Kenichiro Tsunoda;1;16
Lessons of Darkness;8,2;30/01/2016;4;none;53200;de;25;8.3;1992-02-21;Lektionen in Finsternis;0;0;54;tt0104706;United Kingdom;3;Werner Herzog Filmproduktion;3;War;2;Werner Herzog;1;Werner Herzog;3;1
Moonrise Kingdom;7,8;04/06/2016;2;ESMPA;83666;en;1514;7.6;2012-05-16;Moonrise Kingdom;16000000;68263166;94;tt1748122;United States of America;1;Scott Rudin Productions;5;Comedy;3;Wes Anderson;1;Wes Anderson;4;15
FullMetal Alchemist : Brotherhood 1-64;9,1;04/06/2016;4;MPA
Picnic at Hanging Rock;7,6;02/09/2016;3;none;11020;en;142;7.1;1975-09-02;Picnic at Hanging Rock;0;0;115;tt0073540;Australia;1;The Australian Film Commission;4;Thriller;3;Peter Weir;1;Hal McElroy;2;18
Hunt for the Wilderpeople;8,4;01/10/2016;3;ESMPA;371645;en;386;7.9;2016-03-31;Hunt for the Wilderpeople;0;0;101;tt4698684;New Zealand;1;Defender Films;3;Drama;3;Taika Waititi;1;Carthew Neal;4;23
